# Accelerometer Data File
# Started @Fri Mar 02 22:02:25 GMT+08:00 2018
#
#
# sensor Vendor: STMicroelectronics
# sensor Name: LSM6DS3 Accelerometer
# sensor Resolution: 0.0023956299m/sec^2; Max Range: 39.22661; Min Delay: 5000 microseconds
# The sensor's attributes are the result hardware and the Android capabilities.
# It means that the Android may not utilize all features provided by the hardware.
#
# Some devices and Android versions save battery too much so the device may go to sleep.
# It just happens after couple of minutes from turning off the scree and it is easy to find it out.
#
# The following file provides the data from accelerometer in the m/s^2 format.
# The diff value is just a time delta between the samples
#
#
# data format:
# so we have 4 columns with values separated by the ","
# X,Y,Z,time_from_previous_sample(ms)

# sensor speed set to:FASTEST
# units set to: m/sec^2
# gravity NOT filtered out
# Accuracy: HIGH
0.518,1.601,10.54,5
0.507,1.607,10.5,5
0.488,1.613,10.47,5
0.459,1.601,10.409,5
0.478,1.583,10.362,5
0.502,1.611,10.32,5
0.551,1.631,10.32,4
0.582,1.676,10.304,5
0.606,1.737,10.34,5
0.606,1.795,10.399,5
0.594,1.808,10.46,5
0.617,1.808,10.517,5
0.641,1.818,10.537,5
0.632,1.775,10.54,5
0.631,1.767,10.534,5
0.617,1.751,10.524,5
0.591,1.743,10.511,5
0.589,1.717,10.478,4
0.567,1.7,10.443,5
0.574,1.688,10.438,5
0.606,1.702,10.412,5
0.617,1.693,10.439,5
0.585,1.742,10.466,5
0.598,1.748,10.472,5
0.598,1.752,10.472,5
0.58,1.754,10.444,5
0.58,1.728,10.411,5
0.577,1.721,10.37,4
0.575,1.698,10.322,5
0.554,1.681,10.287,5
0.542,1.669,10.26,5
0.533,1.666,10.241,5
0.54,1.657,10.257,5
0.555,1.675,10.301,5
0.561,1.678,10.358,5
0.544,1.675,10.421,5
0.527,1.673,10.48,5
0.527,1.68,10.521,5
0.542,1.669,10.528,4
0.564,1.659,10.521,5
0.549,1.623,10.491,5
0.556,1.596,10.441,5
0.556,1.575,10.359,5
0.515,1.559,10.298,5
0.503,1.574,10.234,5
0.473,1.56,10.155,5
0.448,1.569,10.125,5
0.443,1.565,10.088,5
0.435,1.58,10.082,4
0.426,1.574,10.083,5
0.408,1.562,10.028,5
0.422,1.553,10.017,5
0.433,1.532,10.003,5
0.447,1.538,10.028,5
0.449,1.536,10.073,5
0.465,1.53,10.11,5
