Starting Contiki-3.x-3341-g80dbe5c
With DriverLib v0.47020
TI CC-0.88 G, 0.17 G, -0.10 G
-0.65 G, 0.18 G, 0.00 G
25,-65,18,0 
-0.70 G, 0.20 G, 0.00 G
25,-70,20,0 
-0.68 G, 0.17 G, -0.01 G
25,-68,17,-1 
-0.77 G, 0.16 G, 0.00 G
25,-77,16,0 
-0.76 G, 0.14 G, -0.01 G
25,-76,14,-1 
-0.81 G, 0.12 G, 0.00 G
25,-81,12,0 
-0.79 G, 0.10 G, 0.00 G
25,-79,10,0 
-0.81 G, 0.08 G, 0.01 G
25,-81,8,1 
-0.75 G, 0.04 G, 0.00 G
25,-75,4,0 
-0.72 G, 0.01 G, -0.03 G
25,-72,1,-3 
-0.68 G, 0.00 G, -0.08 G
25,-68,0,-8 
-0.68 G, 0.00 G, -0.11 G
25,-68,0,-11 
-0.68 G, 0.03 G, -0.12 G
25,-68,3,-12 
-0.71 G, 0.06 G, -0.15 G
25,-71,6,-15 
-0.71 G, 0.07 G, -0.17 G
25,-71,7,-17 
-0.74 G,0.50 G
32,-28,76,50 
-0.28 G, 0.77 G, 0.48 G
32,-28,77,48 
-0.28 G, 0.76 G, 0.49 G
32,-28,76,49 
-0.28 G, 0.79 G, 0.52 G
32,-28,79,52 
-0.29 G, 0.79 G, 0.56 G
32,-29,79,56 
-0.30 G, 0.79 G, 0.59 G
32,-30,79,59 
-0.29 G, 0.79 G, 0.61 G
32,-29,79,61 
-0.29 G, 0.76 G, 0.63 G
32,-29,76,63 
-0.27 G, 0.72 G, 0.57 G
32,-27,72,57 
-0.22 G, 0.71 G, 0.58 G
32,-22,71,58 
-0.17 G, 0.70 G, 0.54 G
32,-17,70,54 
-0.17 G, 0.65 G, 0.51 G
32,-17,65,51 
-0.19 G, 0.64 G, 0.51 G
32,-19,64,51 
-0.22 G, 0.64 G, 0.50 G
32,-22,64,50 
-0.26 G, 0.68 G, 0.50 G
32,-26,68,50 
-0.30 G, 0.68 G, 0.49 G
32,-30,68,49 
-0.37 G, 0.70 G, 0.51 G
32,-37,70,51 
-0.37 G, 0.73 G, 0.53 G
32,-37,73,53 
-0.37 G, 0.77 G, 0.56 G
32,-37,77,56 
-0.40 G, 0.77 G, 0.60 G
32,-40,77,60 
-0.38 G, 0.79 G, 0.63 G
32,-38,79,63 
-0.37 G, 0.79 G, 0.71 G
32,-37,79,71 
-0.38 G, 0.79 G, 0.69 G
32,-38,79,69 
-0.33 G, 0.84 G, 0.67 G
32,-33,84,67 
-0.25 G, 0.93 G, 0.61 G
32,-25,93,61 
-0.23 G, 0.99 G, 0.51 G
32,-23,99,51 
-0.21 G, 0.87 G, 0.48 G
32,-21,87,48 
-0.23 G, 0.76 G, 0.32 G
32,-23,76,32 
-0.44 G, 0.59 G, 0.49 G
32,-44,59,49 
-0.36 G, 0.67 G, 0.67 G
32,-36,67,67 
-0.22 G, 0.52 G, 0.39 G
32,-22,52,39 
-0.43 G, 0.42 G, 0.57 G
32,-43,42,57 
-0.05 G, 0.85 G, 0.40 G
32,-5,85,40 
-0.14 G, 0.63 G, 0.32 G
32,-14,63,32 
0.01 G, 0.70 G, 0.31 G
32,1,70,31 
-0.11 G, 0.70 G, 0.27 G
32,-11,70,27 
-0.18 G, 0.63 G, 0.39 G
32,-18,63,39 
-0.16 G, 0.84 G, 0.41 G
32,-16,84,41 
-0.22 G, 0.80 G, 0.26 G
32,-22,80,26 
-0.07 G, 0.76 G, 0.32 G
32,-7,76,32 
-0.17 G, 0.73 G, 0.29 G
32,-17,73,29 
-0.38 G, 0.72 G, 0.30 G
32,-38,72,30 
-0.50 G, 0.70 G, 0.34 G
32,-50,70,34 
-0.43 G, 0.77 G, 0.38 G
32,-43,77,38 
-0.35 G, 0.85 G, 0.32 G
32,-35,85,32 
-0.27 G, 0.86 G, 0.36 G
32,-27,86,36 
-0.22 G, 0.88 G, 0.44 G
32,-22,88,44 
-0.27 G, 0.86 G, 0.41 G
32,-27,86,41 
-0.30 G, 0.92 G, 0.39 G
32,-30,92,39 
-0.33 G, 0.92 G, 0.39 G
32,-33,92,39 
-0.37 G, 0.90 G, 0.37 G
32,-37,90,37 
-0.34 G, 0.96 G, 0.36 G
32,-34,96,36 
-0.31 G, 0.96 G, 0.39 G
32,-31,96,39 
-0.37 G, 0.89 G, 0.42 G
32,-37,89,42 
-0.34 G, 0.84 G, 0.41 G
32,-34,84,41 
-0.33 G, 0.88 G, 0.37 G
32,-33,88,37 
-0.29 G, 0.84 G, 0.35 G
32,-29,84,35 
-0.39 G, 0.80 G, 0.34 G
32,-39,80,34 
-0.48 G, 0.76 G, 0.36 G
32,-48,76,36 
-0.56 G, 0.73 G, 0.34 G
32,-56,73,34 
-0.52 G, 0.83 G, 0.35 G
32,-52,83,35 
-0.49 G, 0.89 G, 0.33 G
32,-49,89,33 
-0.49 G, 0.84 G, 0.38 G
32,-49,84,38 
-0.50 G, 0.90 G, 0.34 G
32,-50,90,34 
-0.50 G, 0.93 G, 0.32 G
32,-50,93,32 
-0.53 G, 0.92 G, 0.29 G
32,-53,92,29 
-0.54 G, 0.86 G, 0.33 G
32,-54,86,33 
-0.52 G, 0.80 G, 0.32 G
32,-52,80,32 
-0.49 G, 0.85 G, 0.26 G
32,-49,85,26 
-0.42 G, 1.04 G, 0.23 G
32,-42,104,23 
-0.26 G, 1.15 G, 0.25 G
32,-26,115,25 
-0.17 G, 0.97 G, 0.37 G
32,-17,97,37 
-0.23 G, 0.85 G, 0.37 G
32,-23,85,37 
-0.34 G, 0.76 G, 0.39 G
32,-34,76,39 
-0.39 G, 0.63 G, 0.41 G
32,-39,63,41 
-0.43 G, 0.59 G, 0.39 G
32,-43,59,39 
-0.47 G, 0.68 G, 0.31 G
32,-47,68,31 
-0.52 G, 0.80 G, 0.32 G
32,-52,80,32 
-0.55 G, 0.76 G, 0.38 G
32,-55,76,38 
-0.50 G, 0.73 G, 0.39 G
32,-50,73,39 
-0.52 G, 0.61 G, 0.40 G
32,-52,61,40 
-0.54 G, 0.63 G, 0.33 G
32,-54,63,33 
-0.44 G, 0.80 G, 0.29 G
32,-44,80,29 
-0.34 G, 0.87 G, 0.37 G
32,-34,87,37 
-0.25 G, 0.99 G, 0.33 G
32,-25,99,33 
-0.25 G, 1.02 G, 0.36 G
32,-25,102,36 
-0.34 G, 0.86 G, 0.36 G
32,-34,86,36 
-0.40 G, 0.72 G, 0.33 G
32,-40,72,33 
-0.57 G, 0.66 G, 0.30 G
32,-57,66,30 
-0.70 G, 0.65 G, 0.28 G
32,-70,65,28 
-0.71 G, 0.80 G, 0.16 G
32,-71,80,16 
-0.69 G, 0.95 G, 0.23 G
32,-69,95,23 
-0.69 G, 0.91 G, 0.33 G
32,-69,91,33 
-0.54 G, 0.94 G, 0.36 G
32,-54,94,36 
-0.45 G, 0.88 G, 0.43 G
32,-45,88,43 
-0.42 G, 0.93 G, 0.40 G
32,-42,93,40 
-0.34 G, 0.78 G, 0.30 G
32,-34,78,30 
-0.39 G, 0.66 G, 0.29 G
32,-39,66,29 
-0.38 G, 0.69 G, 0.17 G
32,-38,69,17 
