Starting Contiki-3.x-3341-g80dbe5c
With DriverLib v0.47020
TI CC2650 SensorTag
IEEE 802.15.4: Yes, Sub-GHz: No, BLE: Yes, Prop: Yes
-1.01 G, -0.05 G, -0.04 G
31,-101,-5,-4 
-1.01 G, -0.11 G, -0.06 G
31,-101,-11,-6 
-1.00 G, -0.10 G, -0.08 G
31,-100,-10,-8 
-0.96 G, -0.11 G, -0.07 G
31,-96,-11,-7 
-1.04 G, -0.16 G, -0.03 G
31,-104,-16,-3 
-0.94 G, -0.10 G, -0.02 G
31,-94,-10,-2 
-0.89 G, -0.02 G, -0.02 G
31,-89,-2,-2 
-0.89 G, 0.00 G, -0.03 G
31,-89,0,-3 
-0.93 G, 0.00 G, -0.04 G
31,-93,0,-4 
-0.95 G, 0.05 G, -0.06 G
31,-95,5,-6 
-0.92 G, 0.08 G, -0.04 G
31,-92,8,-4 
-0.93 G, 0.07 G, -0.03 G
31,-93,7,-3 
-0.92 G, 0.08 G, -0.03 G
31,-92,8,-3 
-0.90 G, 0.08 G, -0.03 G
31,-90,8,-3 
-0.92 G, 0.05 G, -0.04 G
31,-92,5,-4 
-0.95 G, -0.01 G, -0.06 G
31,-95,-1,-6 
-0.95 G, -0.05 G, -0.07 G
31,-95,-5,-7 
-0.94 G, -0.05 G, -0.07 G
31,-94,-5,-7 
-0.93 G, -0.06 G, -0.05 G
31,-93,-6,-5 
-0.92 G, -0.04 G, -0.06 G
31,-92,-4,-6 
-0.91 G, 0.01 G, -0.07 G
31,-91,1,-7 
-0.90 G, 0.08 G, -0.07 G
31,-90,8,-7 
-0.89 G, 0.10 G, -0.06 G
31,-89,10,-6 
-0.90 G, 
